,User ID,Technique,Skill,Background,Training,Granularity,Error rate
0,4g4XbueBXPakEKcHYSqqot76sGg1,Pitch,Expert,No-Music,Untrained,Error rate 12,7.6923076923076925
1,4g4XbueBXPakEKcHYSqqot76sGg1,Pitch,Expert,No-Music,Untrained,Error rate 7,7.6923076923076925
2,4g4XbueBXPakEKcHYSqqot76sGg1,Pitch,Expert,No-Music,Untrained,Error rate 3,0.0
3,4g4XbueBXPakEKcHYSqqot76sGg1,Pitch,Expert,Music,Untrained,Error rate 12,0.0
4,4g4XbueBXPakEKcHYSqqot76sGg1,Pitch,Expert,Music,Untrained,Error rate 7,0.0
5,4g4XbueBXPakEKcHYSqqot76sGg1,Pitch,Expert,Music,Untrained,Error rate 3,0.0
6,4g4XbueBXPakEKcHYSqqot76sGg1,Pitch,Expert,No-Music,Trained,Error rate 12,0.0
7,4g4XbueBXPakEKcHYSqqot76sGg1,Pitch,Expert,No-Music,Trained,Error rate 7,0.0
8,4g4XbueBXPakEKcHYSqqot76sGg1,Pitch,Expert,No-Music,Trained,Error rate 3,0.0
9,4g4XbueBXPakEKcHYSqqot76sGg1,Pitch,Expert,Music,Trained,Error rate 12,0.0
10,4g4XbueBXPakEKcHYSqqot76sGg1,Pitch,Expert,Music,Trained,Error rate 7,0.0
11,4g4XbueBXPakEKcHYSqqot76sGg1,Pitch,Expert,Music,Trained,Error rate 3,0.0
12,4g4XbueBXPakEKcHYSqqot76sGg1,Interval,Expert,No-Music,Untrained,Error rate 12,14.285714285714285
13,4g4XbueBXPakEKcHYSqqot76sGg1,Interval,Expert,No-Music,Untrained,Error rate 7,14.285714285714285
14,4g4XbueBXPakEKcHYSqqot76sGg1,Interval,Expert,No-Music,Untrained,Error rate 3,16.666666666666664
15,4g4XbueBXPakEKcHYSqqot76sGg1,Interval,Expert,Music,Untrained,Error rate 12,7.142857142857142
16,4g4XbueBXPakEKcHYSqqot76sGg1,Interval,Expert,Music,Untrained,Error rate 7,7.142857142857142
17,4g4XbueBXPakEKcHYSqqot76sGg1,Interval,Expert,Music,Untrained,Error rate 3,0.0
18,4g4XbueBXPakEKcHYSqqot76sGg1,Interval,Expert,No-Music,Trained,Error rate 12,0.0
19,4g4XbueBXPakEKcHYSqqot76sGg1,Interval,Expert,No-Music,Trained,Error rate 7,0.0
20,4g4XbueBXPakEKcHYSqqot76sGg1,Interval,Expert,No-Music,Trained,Error rate 3,0.0
21,4g4XbueBXPakEKcHYSqqot76sGg1,Interval,Expert,Music,Trained,Error rate 12,0.0
22,4g4XbueBXPakEKcHYSqqot76sGg1,Interval,Expert,Music,Trained,Error rate 7,0.0
23,4g4XbueBXPakEKcHYSqqot76sGg1,Interval,Expert,Music,Trained,Error rate 3,0.0
24,4g4XbueBXPakEKcHYSqqot76sGg1,Melody,Expert,No-Music,Untrained,Error rate 12,35.714285714285715
