,User ID,Skill,Training,Background,Melodies,Error rate
0,4g4XbueBXPakEKcHYSqqot76sGg1,Expert,Untrained,No-Music,melodies-7,35.714285714285715
1,4g4XbueBXPakEKcHYSqqot76sGg1,Expert,Untrained,No-Music,melodies-4,50.0
2,4g4XbueBXPakEKcHYSqqot76sGg1,Expert,Untrained,Music,melodies-7,0.0
3,4g4XbueBXPakEKcHYSqqot76sGg1,Expert,Untrained,Music,melodies-4,0.0
4,4g4XbueBXPakEKcHYSqqot76sGg1,Expert,Trained,No-Music,melodies-7,0.0
5,4g4XbueBXPakEKcHYSqqot76sGg1,Expert,Trained,No-Music,melodies-4,0.0
6,4g4XbueBXPakEKcHYSqqot76sGg1,Expert,Trained,Music,melodies-7,0.0
7,4g4XbueBXPakEKcHYSqqot76sGg1,Expert,Trained,Music,melodies-4,0.0
8,ND7YXptQpfcoYks37w3hh28VzIJ2,Expert,Untrained,No-Music,melodies-7,0.0
9,ND7YXptQpfcoYks37w3hh28VzIJ2,Expert,Untrained,No-Music,melodies-4,0.0
10,ND7YXptQpfcoYks37w3hh28VzIJ2,Expert,Untrained,Music,melodies-7,0.0
11,ND7YXptQpfcoYks37w3hh28VzIJ2,Expert,Untrained,Music,melodies-4,0.0
12,ND7YXptQpfcoYks37w3hh28VzIJ2,Expert,Trained,No-Music,melodies-7,0.0
13,ND7YXptQpfcoYks37w3hh28VzIJ2,Expert,Trained,No-Music,melodies-4,0.0
14,ND7YXptQpfcoYks37w3hh28VzIJ2,Expert,Trained,Music,melodies-7,0.0
15,ND7YXptQpfcoYks37w3hh28VzIJ2,Expert,Trained,Music,melodies-4,0.0
16,4skkbqCgsCUeDAYAwThCrw5UMRG2,Expert,Untrained,No-Music,melodies-7,8.333333333333332
17,4skkbqCgsCUeDAYAwThCrw5UMRG2,Expert,Untrained,No-Music,melodies-4,0.0
18,4skkbqCgsCUeDAYAwThCrw5UMRG2,Expert,Untrained,Music,melodies-7,21.428571428571427
19,4skkbqCgsCUeDAYAwThCrw5UMRG2,Expert,Untrained,Music,melodies-4,0.0
20,4skkbqCgsCUeDAYAwThCrw5UMRG2,Expert,Trained,No-Music,melodies-7,14.285714285714285
21,4skkbqCgsCUeDAYAwThCrw5UMRG2,Expert,Trained,No-Music,melodies-4,0.0
22,4skkbqCgsCUeDAYAwThCrw5UMRG2,Expert,Trained,Music,melodies-7,14.285714285714285
23,4skkbqCgsCUeDAYAwThCrw5UMRG2,Expert,Trained,Music,melodies-4,12.5
24,eDAQuX1FHxaGiWXOPiR3IVG3sZK2,Intermediate,Untrained,No-Music,melodies-7,0.0
25,eDAQuX1FHxaGiWXOPiR3IVG3sZK2,Intermediate,Untrained,No-Music,melodies-4,0.0
26,eDAQuX1FHxaGiWXOPiR3IVG3sZK2,Intermediate,Untrained,Music,melodies-7,28.57142857142857
27,eDAQuX1FHxaGiWXOPiR3IVG3sZK2,Intermediate,Untrained,Music,melodies-4,37.5
28,eDAQuX1FHxaGiWXOPiR3IVG3sZK2,Intermediate,Trained,No-Music,melodies-7,21.428571428571427
29,eDAQuX1FHxaGiWXOPiR3IVG3sZK2,Intermediate,Trained,No-Music,melodies-4,25.0
30,eDAQuX1FHxaGiWXOPiR3IVG3sZK2,Intermediate,Trained,Music,melodies-7,7.142857142857142
31,eDAQuX1FHxaGiWXOPiR3IVG3sZK2,Intermediate,Trained,Music,melodies-4,0.0
32,ttJ0IFZj6ofNkXKH9LRAjBxI3M53,Expert,Untrained,No-Music,melodies-7,0.0
33,ttJ0IFZj6ofNkXKH9LRAjBxI3M53,Expert,Untrained,No-Music,melodies-4,0.0
34,ttJ0IFZj6ofNkXKH9LRAjBxI3M53,Expert,Untrained,Music,melodies-7,0.0
35,ttJ0IFZj6ofNkXKH9LRAjBxI3M53,Expert,Untrained,Music,melodies-4,0.0
36,ttJ0IFZj6ofNkXKH9LRAjBxI3M53,Expert,Trained,No-Music,melodies-7,7.142857142857142
37,ttJ0IFZj6ofNkXKH9LRAjBxI3M53,Expert,Trained,No-Music,melodies-4,0.0
38,ttJ0IFZj6ofNkXKH9LRAjBxI3M53,Expert,Trained,Music,melodies-7,0.0
39,ttJ0IFZj6ofNkXKH9LRAjBxI3M53,Expert,Trained,Music,melodies-4,0.0
40,iBaEkIBcrjVxmQYt2ynpOaMNNJi2,Expert,Untrained,No-Music,melodies-7,0.0
