,User ID,Technique,Skill,Training,Background,Error rate
0,4g4XbueBXPakEKcHYSqqot76sGg1,Pitch,Expert,Untrained,No-Music,7.6923076923076925
1,4g4XbueBXPakEKcHYSqqot76sGg1,Pitch,Expert,Untrained,Music,0.0
2,4g4XbueBXPakEKcHYSqqot76sGg1,Pitch,Expert,Trained,No-Music,0.0
3,4g4XbueBXPakEKcHYSqqot76sGg1,Pitch,Expert,Trained,Music,0.0
4,4g4XbueBXPakEKcHYSqqot76sGg1,Interval,Expert,Untrained,No-Music,14.285714285714285
5,4g4XbueBXPakEKcHYSqqot76sGg1,Interval,Expert,Untrained,Music,7.142857142857142
6,4g4XbueBXPakEKcHYSqqot76sGg1,Interval,Expert,Trained,No-Music,0.0
7,4g4XbueBXPakEKcHYSqqot76sGg1,Interval,Expert,Trained,Music,0.0
8,4g4XbueBXPakEKcHYSqqot76sGg1,Melody,Expert,Untrained,No-Music,35.714285714285715
9,4g4XbueBXPakEKcHYSqqot76sGg1,Melody,Expert,Untrained,Music,0.0
10,4g4XbueBXPakEKcHYSqqot76sGg1,Melody,Expert,Trained,No-Music,0.0
11,4g4XbueBXPakEKcHYSqqot76sGg1,Melody,Expert,Trained,Music,0.0
12,ND7YXptQpfcoYks37w3hh28VzIJ2,Pitch,Expert,Untrained,No-Music,21.428571428571427
13,ND7YXptQpfcoYks37w3hh28VzIJ2,Pitch,Expert,Untrained,Music,25.0
14,ND7YXptQpfcoYks37w3hh28VzIJ2,Pitch,Expert,Trained,No-Music,0.0
15,ND7YXptQpfcoYks37w3hh28VzIJ2,Pitch,Expert,Trained,Music,0.0
16,ND7YXptQpfcoYks37w3hh28VzIJ2,Interval,Expert,Untrained,No-Music,0.0
17,ND7YXptQpfcoYks37w3hh28VzIJ2,Interval,Expert,Untrained,Music,0.0
18,ND7YXptQpfcoYks37w3hh28VzIJ2,Interval,Expert,Trained,No-Music,0.0
19,ND7YXptQpfcoYks37w3hh28VzIJ2,Interval,Expert,Trained,Music,7.142857142857142
20,ND7YXptQpfcoYks37w3hh28VzIJ2,Melody,Expert,Untrained,No-Music,0.0
21,ND7YXptQpfcoYks37w3hh28VzIJ2,Melody,Expert,Untrained,Music,0.0
22,ND7YXptQpfcoYks37w3hh28VzIJ2,Melody,Expert,Trained,No-Music,0.0
23,ND7YXptQpfcoYks37w3hh28VzIJ2,Melody,Expert,Trained,Music,0.0
24,4skkbqCgsCUeDAYAwThCrw5UMRG2,Pitch,Expert,Untrained,No-Music,7.142857142857142
25,4skkbqCgsCUeDAYAwThCrw5UMRG2,Pitch,Expert,Untrained,Music,15.384615384615385
26,4skkbqCgsCUeDAYAwThCrw5UMRG2,Pitch,Expert,Trained,No-Music,0.0
27,4skkbqCgsCUeDAYAwThCrw5UMRG2,Pitch,Expert,Trained,Music,0.0
28,4skkbqCgsCUeDAYAwThCrw5UMRG2,Interval,Expert,Untrained,No-Music,15.384615384615385
29,4skkbqCgsCUeDAYAwThCrw5UMRG2,Interval,Expert,Untrained,Music,7.142857142857142
30,4skkbqCgsCUeDAYAwThCrw5UMRG2,Interval,Expert,Trained,No-Music,0.0
31,4skkbqCgsCUeDAYAwThCrw5UMRG2,Interval,Expert,Trained,Music,0.0
32,4skkbqCgsCUeDAYAwThCrw5UMRG2,Melody,Expert,Untrained,No-Music,8.333333333333332
33,4skkbqCgsCUeDAYAwThCrw5UMRG2,Melody,Expert,Untrained,Music,21.428571428571427
34,4skkbqCgsCUeDAYAwThCrw5UMRG2,Melody,Expert,Trained,No-Music,14.285714285714285
35,4skkbqCgsCUeDAYAwThCrw5UMRG2,Melody,Expert,Trained,Music,14.285714285714285
36,eDAQuX1FHxaGiWXOPiR3IVG3sZK2,Pitch,Intermediate,Untrained,No-Music,57.14285714285714
37,eDAQuX1FHxaGiWXOPiR3IVG3sZK2,Pitch,Intermediate,Untrained,Music,78.57142857142857
38,eDAQuX1FHxaGiWXOPiR3IVG3sZK2,Pitch,Intermediate,Trained,No-Music,28.57142857142857
39,eDAQuX1FHxaGiWXOPiR3IVG3sZK2,Pitch,Intermediate,Trained,Music,7.142857142857142
40,eDAQuX1FHxaGiWXOPiR3IVG3sZK2,Interval,Intermediate,Untrained,No-Music,23.076923076923077
41,eDAQuX1FHxaGiWXOPiR3IVG3sZK2,Interval,Intermediate,Untrained,Music,28.57142857142857
42,eDAQuX1FHxaGiWXOPiR3IVG3sZK2,Interval,Intermediate,Trained,No-Music,7.142857142857142
43,eDAQuX1FHxaGiWXOPiR3IVG3sZK2,Interval,Intermediate,Trained,Music,14.285714285714285
44,eDAQuX1FHxaGiWXOPiR3IVG3sZK2,Melody,Intermediate,Untrained,No-Music,0.0
45,eDAQuX1FHxaGiWXOPiR3IVG3sZK2,Melody,Intermediate,Untrained,Music,28.57142857142857
46,eDAQuX1FHxaGiWXOPiR3IVG3sZK2,Melody,Intermediate,Trained,No-Music,21.428571428571427
47,eDAQuX1FHxaGiWXOPiR3IVG3sZK2,Melody,Intermediate,Trained,Music,7.142857142857142
48,ttJ0IFZj6ofNkXKH9LRAjBxI3M53,Pitch,Expert,Untrained,No-Music,0.0
49,ttJ0IFZj6ofNkXKH9LRAjBxI3M53,Pitch,Expert,Untrained,Music,0.0
50,ttJ0IFZj6ofNkXKH9LRAjBxI3M53,Pitch,Expert,Trained,No-Music,0.0
51,ttJ0IFZj6ofNkXKH9LRAjBxI3M53,Pitch,Expert,Trained,Music,0.0
52,ttJ0IFZj6ofNkXKH9LRAjBxI3M53,Interval,Expert,Untrained,No-Music,0.0
53,ttJ0IFZj6ofNkXKH9LRAjBxI3M53,Interval,Expert,Untrained,Music,0.0
54,ttJ0IFZj6ofNkXKH9LRAjBxI3M53,Interval,Expert,Trained,No-Music,8.333333333333332
55,ttJ0IFZj6ofNkXKH9LRAjBxI3M53,Interval,Expert,Trained,Music,0.0
56,ttJ0IFZj6ofNkXKH9LRAjBxI3M53,Melody,Expert,Untrained,No-Music,0.0
57,ttJ0IFZj6ofNkXKH9LRAjBxI3M53,Melody,Expert,Untrained,Music,0.0
58,ttJ0IFZj6ofNkXKH9LRAjBxI3M53,Melody,Expert,Trained,No-Music,7.142857142857142
59,ttJ0IFZj6ofNkXKH9LRAjBxI3M53,Melody,Expert,Trained,Music,0.0
60,iBaEkIBcrjVxmQYt2ynpOaMNNJi2,Pitch,Expert,Untrained,No-Music,7.6923076923076925
61,iBaEkIBcrjVxmQYt2ynpOaMNNJi2,Pitch,Expert,Untrained,Music,0.0
62,iBaEkIBcrjVxmQYt2ynpOaMNNJi2,Pitch,Expert,Trained,No-Music,0.0
63,iBaEkIBcrjVxmQYt2ynpOaMNNJi2,Pitch,Expert,Trained,Music,0.0
64,iBaEkIBcrjVxmQYt2ynpOaMNNJi2,Interval,Expert,Untrained,No-Music,0.0
