,User ID,Technique,Skill,Metric,Background,Training,Time,Success
0,4g4XbueBXPakEKcHYSqqot76sGg1,Pitch,Expert,Total time,No-Music,Untrained,5852.5,True
1,4g4XbueBXPakEKcHYSqqot76sGg1,Pitch,Expert,Sing time,No-Music,Untrained,4648.5,True
2,4g4XbueBXPakEKcHYSqqot76sGg1,Pitch,Expert,Total time,No-Music,Untrained,1854.0,False
3,4g4XbueBXPakEKcHYSqqot76sGg1,Pitch,Expert,Sing time,No-Music,Untrained,1150.9000000953674,False
4,4g4XbueBXPakEKcHYSqqot76sGg1,Pitch,Expert,Total time,No-Music,Untrained,3846.9000000953674,True
5,4g4XbueBXPakEKcHYSqqot76sGg1,Pitch,Expert,Sing time,No-Music,Untrained,2148.600000143051,True
6,4g4XbueBXPakEKcHYSqqot76sGg1,Pitch,Expert,Total time,No-Music,Untrained,2200.2999999523163,True
7,4g4XbueBXPakEKcHYSqqot76sGg1,Pitch,Expert,Sing time,No-Music,Untrained,548.3000001907349,True
8,4g4XbueBXPakEKcHYSqqot76sGg1,Pitch,Expert,Total time,No-Music,Untrained,1699.5999999046326,True
9,4g4XbueBXPakEKcHYSqqot76sGg1,Pitch,Expert,Sing time,No-Music,Untrained,345.7999999523163,True
10,4g4XbueBXPakEKcHYSqqot76sGg1,Pitch,Expert,Total time,No-Music,Untrained,2751.5,True
11,4g4XbueBXPakEKcHYSqqot76sGg1,Pitch,Expert,Sing time,No-Music,Untrained,898.5,True
12,4g4XbueBXPakEKcHYSqqot76sGg1,Pitch,Expert,Total time,No-Music,Untrained,2447.4000000953674,True
13,4g4XbueBXPakEKcHYSqqot76sGg1,Pitch,Expert,Sing time,No-Music,Untrained,699.5999999046326,True
14,4g4XbueBXPakEKcHYSqqot76sGg1,Pitch,Expert,Total time,No-Music,Untrained,3099.899999856949,True
15,4g4XbueBXPakEKcHYSqqot76sGg1,Pitch,Expert,Sing time,No-Music,Untrained,698.5999999046326,True
16,4g4XbueBXPakEKcHYSqqot76sGg1,Pitch,Expert,Total time,No-Music,Untrained,3299.5,True
17,4g4XbueBXPakEKcHYSqqot76sGg1,Pitch,Expert,Sing time,No-Music,Untrained,798.5,True
18,4g4XbueBXPakEKcHYSqqot76sGg1,Pitch,Expert,Total time,No-Music,Untrained,2300.300000190735,True
19,4g4XbueBXPakEKcHYSqqot76sGg1,Pitch,Expert,Sing time,No-Music,Untrained,697.7000000476837,True
20,4g4XbueBXPakEKcHYSqqot76sGg1,Pitch,Expert,Total time,No-Music,Untrained,2700.2999999523163,True
21,4g4XbueBXPakEKcHYSqqot76sGg1,Pitch,Expert,Sing time,No-Music,Untrained,950.2000000476837,True
22,4g4XbueBXPakEKcHYSqqot76sGg1,Pitch,Expert,Total time,No-Music,Untrained,2550.7999999523163,True
23,4g4XbueBXPakEKcHYSqqot76sGg1,Pitch,Expert,Sing time,No-Music,Untrained,1099.6000001430511,True
24,4g4XbueBXPakEKcHYSqqot76sGg1,Pitch,Expert,Total time,No-Music,Untrained,2148.600000143051,True
25,4g4XbueBXPakEKcHYSqqot76sGg1,Pitch,Expert,Sing time,No-Music,Untrained,846.0,True
26,4g4XbueBXPakEKcHYSqqot76sGg1,Pitch,Expert,Total time,Music,Untrained,5834.0,True
27,4g4XbueBXPakEKcHYSqqot76sGg1,Pitch,Expert,Sing time,Music,Untrained,949.1000001430511,True
28,4g4XbueBXPakEKcHYSqqot76sGg1,Pitch,Expert,Total time,Music,Untrained,2449.5,True
29,4g4XbueBXPakEKcHYSqqot76sGg1,Pitch,Expert,Sing time,Music,Untrained,898.4000000953674,True
30,4g4XbueBXPakEKcHYSqqot76sGg1,Pitch,Expert,Total time,Music,Untrained,2699.0999999046326,True
31,4g4XbueBXPakEKcHYSqqot76sGg1,Pitch,Expert,Sing time,Music,Untrained,798.3000001907349,True
32,4g4XbueBXPakEKcHYSqqot76sGg1,Pitch,Expert,Total time,Music,Untrained,2851.0,True
33,4g4XbueBXPakEKcHYSqqot76sGg1,Pitch,Expert,Sing time,Music,Untrained,1099.3999998569489,True
34,4g4XbueBXPakEKcHYSqqot76sGg1,Pitch,Expert,Total time,Music,Untrained,2500.2000000476837,True
35,4g4XbueBXPakEKcHYSqqot76sGg1,Pitch,Expert,Sing time,Music,Untrained,997.5999999046326,True
36,4g4XbueBXPakEKcHYSqqot76sGg1,Pitch,Expert,Total time,Music,Untrained,2948.4000000953674,True
37,4g4XbueBXPakEKcHYSqqot76sGg1,Pitch,Expert,Sing time,Music,Untrained,1248.4000000953674,True
38,4g4XbueBXPakEKcHYSqqot76sGg1,Pitch,Expert,Total time,Music,Untrained,2701.7999999523163,True
39,4g4XbueBXPakEKcHYSqqot76sGg1,Pitch,Expert,Sing time,Music,Untrained,1248.6000001430511,True
40,4g4XbueBXPakEKcHYSqqot76sGg1,Pitch,Expert,Total time,Music,Untrained,2599.7999999523163,True
41,4g4XbueBXPakEKcHYSqqot76sGg1,Pitch,Expert,Sing time,Music,Untrained,1099.2000000476837,True
42,4g4XbueBXPakEKcHYSqqot76sGg1,Pitch,Expert,Total time,Music,Untrained,2749.5,True
43,4g4XbueBXPakEKcHYSqqot76sGg1,Pitch,Expert,Sing time,Music,Untrained,1300.2000000476837,True
44,4g4XbueBXPakEKcHYSqqot76sGg1,Pitch,Expert,Total time,Music,Untrained,2849.7999999523163,True
